"year","make","model","trim","side","curb_weight_lbs","status","source_url","source_tier","source_quote","notes"
2016,"Nissan","Murano","Platinum","hev",4189,"exact","https://usa.nissannews.com/en-US/releases/us-2016-nissan-murano-press-kit","OEM","Weights AWD/FWD SL/Plt ... Total 4,145 4,189 4,021 4,063","2016 Murano Platinum HEV AWD. Official hybrid spec table: AWD Platinum total 4,189."
2016,"Nissan","Murano","Platinum","hev",4063,"exact","https://usa.nissannews.com/en-US/releases/us-2016-nissan-murano-press-kit","OEM","Weights AWD/FWD SL/Plt ... Total 4,145 4,189 4,021 4,063","2016 Murano Platinum HEV FWD. Official hybrid spec table: FWD Platinum total 4,063."
2016,"Nissan","Murano","SL","hev",4145,"exact","https://usa.nissannews.com/en-US/releases/us-2016-nissan-murano-press-kit","OEM","Weights AWD/FWD SL/Plt ... Total 4,145 4,189 4,021 4,063","2016 Murano SL HEV AWD. Official hybrid spec table: AWD SL total 4,145."
2016,"Nissan","Murano","SL","hev",4021,"exact","https://usa.nissannews.com/en-US/releases/us-2016-nissan-murano-press-kit","OEM","Weights AWD/FWD SL/Plt ... Total 4,145 4,189 4,021 4,063","2016 Murano SL HEV FWD. Official hybrid spec table: FWD SL total 4,021. Car and Driver lists 4,015; used OEM."
2016,"Subaru","Crosstrek","2.0i Limited PZEV","ice",3208,"exact","https://www.subaru.ca/Print/Specifications.aspx?CarIds=922%2C925%2C927%2C928%2C930%2C931&GroupID=5&WebSiteID=282&t=1505520170002","OEM","Curb weight: Automatic transmission (kg) 1,455 [Crosstrek Limited Package]","2016 Subaru Crosstrek 2.0i Limited PZEV 4dr SUV AWD; 2.0L H4 CVT. Opened Subaru Canada printable spec table: Limited Package automatic curb weight 1,455 kg = 3,208 lb. US KBB 2.0i Limited page lists Curb Weight 3208 lbs. and Engine 4-Cyl, PZEV, 2.0 Liter (https://www.kbb.com/subaru/crosstrek/2016/20i-limited-sport-utility-4d/). cars101 notes Limited CVT option range 3,208–3,241 lb; 3,208 used as base."
2016,"Subaru","Crosstrek","Hybrid","hev",3451,"exact","https://www.caranddriver.com/subaru/crosstrek/specs/2016/subaru_crosstrek_subaru-crosstrek-hybrid_2016","secondary","Base Curb Weight (pounds) 3451","2016 Subaru Crosstrek Hybrid 5-door AWD; 2.0L H4 gas/electric CVT; 160 hp combined. Opened C&D spec page in full. KBB Hybrid Sport Utility 4D page lists Curb Weight 3451 lbs. This is the cloth Hybrid, not Hybrid Touring (3,495 lb). Subaru Canada OEM table lists Hybrid CVT at 1,595 kg (about 3,516 lb) — Canadian figure not used for this US record."
2017,"Ford","Fusion","Platinum","ice",3526,"exact","https://cars.usnews.com/cars-trucks/ford/fusion/2017/specs/fusion-platinum-fwd-382975","secondary","Base Curb Weight (lbs.) 3526","2017 Fusion Platinum FWD 2.0L EcoBoost. Opened U.S. News Platinum FWD spec page."
2017,"Ford","Fusion","Titanium","ice",3526,"exact","https://cars.usnews.com/cars-trucks/ford/fusion/2017/specs/fusion-titanium-fwd-382971","secondary","Base Curb Weight (lbs.) 3526","2017 Fusion Titanium FWD 2.0L EcoBoost. Opened U.S. News Titanium FWD spec page; same 3526 lb as Platinum FWD on the same mechanical configuration (2.0T FWD sedan)."
2017,"Lincoln","MKZ","Black Label","ice",3739,"shared_configuration","https://www.caranddriver.com/lincoln/mkz/specs/2017/lincoln_mkz_lincoln-mkz_2017","secondary","Base Curb Weight (pounds) 3739 [2017 MKZ Black Label FWD; Engine 2.0 L/122 I-4; Drivetrain Front-Wheel Drive]","2017 MKZ Black Label FWD 2.0T 6A sedan (inventory 245 hp). KBB lists 3739 for Premiere/Select/Reserve 2.0T FWD. Equipment-only trims share the 2.0T FWD figure. KBB Black Label Sedan column is 3.0T 400 hp with 3739 (engine/weight mismatch); inventory Black Label is 2.0T. C&D page lists 240 hp; inventory/Lincoln 2017 rating is 245. media.lincoln.com 2017 Tech Specs PDF timed out/redirected and was not opened."
2017,"Lincoln","MKZ","Hybrid Black Label","hev",3871,"shared_configuration","https://www.kbb.com/lincoln/mkz/2017/specs/","secondary","Curb Weight 3,871 pounds [Select/Premiere/Reserve/Black Label Hybrid Sedan 4D; all FWD]","2017 MKZ Hybrid Black Label FWD 2.0 Atkinson eCVT sedan. Premiere/Select/Reserve/Black Label are equipment groups on one hybrid FWD configuration; KBB lists 3871 for all four. Car and Driver Hybrid Black Label FWD also Base Curb Weight 3871. AP as-tested Hybrid Reserve fact sheet lists 3,792 pounds for a $49,375 press car; not used. Lincoln 2017 consumer brochure has no curb weight."
2017,"Lincoln","MKZ","Hybrid Premiere","hev",3871,"shared_configuration","https://www.kbb.com/lincoln/mkz/2017/specs/","secondary","Curb Weight 3,871 pounds [Select/Premiere/Reserve/Black Label Hybrid Sedan 4D; all FWD]","2017 MKZ Hybrid Premiere FWD 2.0 Atkinson eCVT sedan. Premiere/Select/Reserve/Black Label are equipment groups on one hybrid FWD configuration; KBB lists 3871 for all four. Car and Driver Hybrid Black Label FWD also Base Curb Weight 3871. AP as-tested Hybrid Reserve fact sheet lists 3,792 pounds for a $49,375 press car; not used. Lincoln 2017 consumer brochure has no curb weight."
2017,"Lincoln","MKZ","Hybrid Reserve","hev",3871,"shared_configuration","https://www.kbb.com/lincoln/mkz/2017/specs/","secondary","Curb Weight 3,871 pounds [Select/Premiere/Reserve/Black Label Hybrid Sedan 4D; all FWD]","2017 MKZ Hybrid Reserve FWD 2.0 Atkinson eCVT sedan. Premiere/Select/Reserve/Black Label are equipment groups on one hybrid FWD configuration; KBB lists 3871 for all four. Car and Driver Hybrid Black Label FWD also Base Curb Weight 3871. AP as-tested Hybrid Reserve fact sheet lists 3,792 pounds for a $49,375 press car; not used. Lincoln 2017 consumer brochure has no curb weight."
2017,"Lincoln","MKZ","Hybrid Select","hev",3871,"shared_configuration","https://www.kbb.com/lincoln/mkz/2017/specs/","secondary","Curb Weight 3,871 pounds [Select/Premiere/Reserve/Black Label Hybrid Sedan 4D; all FWD]","2017 MKZ Hybrid Select FWD 2.0 Atkinson eCVT sedan. Premiere/Select/Reserve/Black Label are equipment groups on one hybrid FWD configuration; KBB lists 3871 for all four. Car and Driver Hybrid Black Label FWD also Base Curb Weight 3871. AP as-tested Hybrid Reserve fact sheet lists 3,792 pounds for a $49,375 press car; not used. Lincoln 2017 consumer brochure has no curb weight."
2017,"Lincoln","MKZ","Premiere","ice",3739,"shared_configuration","https://www.caranddriver.com/lincoln/mkz/specs/2017/lincoln_mkz_lincoln-mkz_2017","secondary","Base Curb Weight (pounds) 3739 [2017 MKZ Black Label FWD; Engine 2.0 L/122 I-4; Drivetrain Front-Wheel Drive]","2017 MKZ Premiere FWD 2.0T 6A sedan (inventory 245 hp). KBB lists 3739 for Premiere/Select/Reserve 2.0T FWD. Equipment-only trims share the 2.0T FWD figure. KBB Black Label Sedan column is 3.0T 400 hp with 3739 (engine/weight mismatch); inventory Black Label is 2.0T. C&D page lists 240 hp; inventory/Lincoln 2017 rating is 245. media.lincoln.com 2017 Tech Specs PDF timed out/redirected and was not opened."
2017,"Lincoln","MKZ","Reserve","ice",3739,"shared_configuration","https://www.caranddriver.com/lincoln/mkz/specs/2017/lincoln_mkz_lincoln-mkz_2017","secondary","Base Curb Weight (pounds) 3739 [2017 MKZ Black Label FWD; Engine 2.0 L/122 I-4; Drivetrain Front-Wheel Drive]","2017 MKZ Reserve FWD 2.0T 6A sedan (inventory 245 hp). KBB lists 3739 for Premiere/Select/Reserve 2.0T FWD. Equipment-only trims share the 2.0T FWD figure. KBB Black Label Sedan column is 3.0T 400 hp with 3739 (engine/weight mismatch); inventory Black Label is 2.0T. C&D page lists 240 hp; inventory/Lincoln 2017 rating is 245. media.lincoln.com 2017 Tech Specs PDF timed out/redirected and was not opened."
2017,"Lincoln","MKZ","Select","ice",3739,"shared_configuration","https://www.caranddriver.com/lincoln/mkz/specs/2017/lincoln_mkz_lincoln-mkz_2017","secondary","Base Curb Weight (pounds) 3739 [2017 MKZ Black Label FWD; Engine 2.0 L/122 I-4; Drivetrain Front-Wheel Drive]","2017 MKZ Select FWD 2.0T 6A sedan (inventory 245 hp). KBB lists 3739 for Premiere/Select/Reserve 2.0T FWD. Equipment-only trims share the 2.0T FWD figure. KBB Black Label Sedan column is 3.0T 400 hp with 3739 (engine/weight mismatch); inventory Black Label is 2.0T. C&D page lists 240 hp; inventory/Lincoln 2017 rating is 245. media.lincoln.com 2017 Tech Specs PDF timed out/redirected and was not opened."
2018,"Chevrolet","Malibu","Hybrid","hev",3366,"exact","https://www.caranddriver.com/chevrolet/malibu/specs/2018/chevrolet_malibu_chevrolet-malibu-hybrid_2018","secondary","Base Curb Weight (pounds) 3366","2018 Chevrolet Malibu Hybrid 4dr sedan; 1.8L hybrid two-motor drive unit; FWD. Opened C&D spec page in full. KBB 2018 Malibu comparison page also lists Hybrid curb weight 3,366 pounds. Official 2018 Malibu dealer brochure (cdn.dealereprocess.org) has no curb-weight table. IIHS roof-test 3,117 lb is a 2016 Malibu 1LT gasoline test car, not this hybrid."
2018,"Chevrolet","Malibu","LT","ice",3152,"exact","https://www.kbb.com/chevrolet/malibu/2018/specs/","secondary","Curb Weight 3,152 pounds [Malibu LT Sedan 4D]","2018 Chevrolet Malibu LT 4dr sedan; 1.5L turbo I4 6A; FWD. Opened KBB comparison page in full. U.S. News 2018 Malibu 4dr Sdn LT w/1LT page also lists Base Curb Weight (lbs.) 3152 (https://cars.usnews.com/cars-trucks/chevrolet/malibu/2018/specs/malibu-1lt-390994). Official 2018 Malibu dealer brochure has no curb weight. Minority aggregators list LT near 3,126 lb; C&D as-tested optioned 1.5T was 3,185 lb — those are not used."
2018,"Ford","Fusion","Platinum","ice",3526,"exact","https://cars.usnews.com/cars-trucks/ford/fusion/2018/specs/fusion-platinum-fwd-392054","secondary","Base Curb Weight (lbs.) 3526","2018 Fusion Platinum FWD 2.0L EcoBoost. Opened U.S. News Platinum FWD spec page."
2018,"Ford","Fusion","Titanium","ice",3526,"exact","https://cars.usnews.com/cars-trucks/ford/fusion/2018/specs/fusion-titanium-fwd-392053","secondary","Base Curb Weight (lbs.) 3526","2018 Fusion Titanium FWD 2.0L EcoBoost. Opened U.S. News Titanium FWD spec page; same 3526 lb as 2018 Platinum FWD."
2018,"Lincoln","MKZ","Black Label","ice",3739,"shared_configuration","https://www.caranddriver.com/lincoln/mkz/specs/2018/lincoln_mkz_lincoln-mkz_2018","secondary","Base Curb Weight (pounds) 3739 [2018 MKZ Premiere FWD; Engine Turbocharged 2.0L I-4; 245 @ 5500]","2018 MKZ Black Label FWD 2.0T 6A sedan (inventory 245 hp). KBB lists 3739 for Premiere/Select/Reserve 2.0T FWD. Equipment-only trims share the 2.0T FWD figure. KBB Black Label Sedan column is 3.0T 400 hp with 3739 (engine/weight mismatch); inventory Black Label is 2.0T."
2018,"Lincoln","MKZ","Hybrid Black Label","hev",3871,"shared_configuration","https://www.kbb.com/lincoln/mkz/2018/specs/","secondary","Curb Weight 3,871 pounds [Premiere/Select/Reserve/Black Label Hybrid Sedan 4D; all FWD]","2018 MKZ Hybrid Black Label FWD 2.0 Atkinson eCVT sedan. Same hybrid FWD configuration across equipment trims; KBB lists 3871 for all four. Car and Driver Hybrid Premiere FWD also Base Curb Weight 3871. 2018 consumer brochure has no curb weight."
2018,"Lincoln","MKZ","Hybrid Premiere","hev",3871,"shared_configuration","https://www.kbb.com/lincoln/mkz/2018/specs/","secondary","Curb Weight 3,871 pounds [Premiere/Select/Reserve/Black Label Hybrid Sedan 4D; all FWD]","2018 MKZ Hybrid Premiere FWD 2.0 Atkinson eCVT sedan. Same hybrid FWD configuration across equipment trims; KBB lists 3871 for all four. Car and Driver Hybrid Premiere FWD also Base Curb Weight 3871. 2018 consumer brochure has no curb weight."
2018,"Lincoln","MKZ","Hybrid Reserve","hev",3871,"shared_configuration","https://www.kbb.com/lincoln/mkz/2018/specs/","secondary","Curb Weight 3,871 pounds [Premiere/Select/Reserve/Black Label Hybrid Sedan 4D; all FWD]","2018 MKZ Hybrid Reserve FWD 2.0 Atkinson eCVT sedan. Same hybrid FWD configuration across equipment trims; KBB lists 3871 for all four. Car and Driver Hybrid Premiere FWD also Base Curb Weight 3871. 2018 consumer brochure has no curb weight."
2018,"Lincoln","MKZ","Hybrid Select","hev",3871,"shared_configuration","https://www.kbb.com/lincoln/mkz/2018/specs/","secondary","Curb Weight 3,871 pounds [Premiere/Select/Reserve/Black Label Hybrid Sedan 4D; all FWD]","2018 MKZ Hybrid Select FWD 2.0 Atkinson eCVT sedan. Same hybrid FWD configuration across equipment trims; KBB lists 3871 for all four. Car and Driver Hybrid Premiere FWD also Base Curb Weight 3871. 2018 consumer brochure has no curb weight."
2018,"Lincoln","MKZ","Premiere","ice",3739,"shared_configuration","https://www.caranddriver.com/lincoln/mkz/specs/2018/lincoln_mkz_lincoln-mkz_2018","secondary","Base Curb Weight (pounds) 3739 [2018 MKZ Premiere FWD; Engine Turbocharged 2.0L I-4; 245 @ 5500]","2018 MKZ Premiere FWD 2.0T 6A sedan (inventory 245 hp). KBB lists 3739 for Premiere/Select/Reserve 2.0T FWD. Equipment-only trims share the 2.0T FWD figure. KBB Black Label Sedan column is 3.0T 400 hp with 3739 (engine/weight mismatch); inventory Black Label is 2.0T."
2018,"Lincoln","MKZ","Reserve","ice",3739,"shared_configuration","https://www.caranddriver.com/lincoln/mkz/specs/2018/lincoln_mkz_lincoln-mkz_2018","secondary","Base Curb Weight (pounds) 3739 [2018 MKZ Premiere FWD; Engine Turbocharged 2.0L I-4; 245 @ 5500]","2018 MKZ Reserve FWD 2.0T 6A sedan (inventory 245 hp). KBB lists 3739 for Premiere/Select/Reserve 2.0T FWD. Equipment-only trims share the 2.0T FWD figure. KBB Black Label Sedan column is 3.0T 400 hp with 3739 (engine/weight mismatch); inventory Black Label is 2.0T."
2018,"Lincoln","MKZ","Select","ice",3739,"shared_configuration","https://www.caranddriver.com/lincoln/mkz/specs/2018/lincoln_mkz_lincoln-mkz_2018","secondary","Base Curb Weight (pounds) 3739 [2018 MKZ Premiere FWD; Engine Turbocharged 2.0L I-4; 245 @ 5500]","2018 MKZ Select FWD 2.0T 6A sedan (inventory 245 hp). KBB lists 3739 for Premiere/Select/Reserve 2.0T FWD. Equipment-only trims share the 2.0T FWD figure. KBB Black Label Sedan column is 3.0T 400 hp with 3739 (engine/weight mismatch); inventory Black Label is 2.0T."
2019,"Ford","Fusion","SE","ice",,"unresolved","","none","","2019 Fusion SE FWD 1.5L EcoBoost. Did not open a 2019 SE FWD spec page in this pass. Secondary listings for 2019/2020 1.5T FWD cluster near 3470 lb but were not used as final evidence."
2019,"Ford","Fusion","SEL","ice",,"unresolved","","none","","2019 Fusion SEL FWD 1.5L EcoBoost. Same 2019 1.5T FWD gap as 401757614; no opened SEL FWD page."
2019,"Ford","Fusion","Titanium","ice",,"unresolved","","none","","2019 Fusion Titanium FWD 2.0L EcoBoost. 2017-2018 Titanium FWD is 3526 lb; later-year secondary listings shift to ~3676 lb. Year-specific page not opened; not propagated."
2020,"Ford","Fusion","SE","ice",,"unresolved","","none","","2020 Fusion SE FWD 1.5L EcoBoost. No opened 2020 SE FWD page."
2020,"Ford","Fusion","SEL","ice",,"unresolved","","none","","2020 Fusion SEL FWD 1.5L EcoBoost. No opened 2020 SEL FWD page."
2020,"Ford","Fusion","Titanium","ice",,"unresolved","","none","","2020 Fusion Titanium FWD 2.0L EcoBoost. No opened 2020 Titanium FWD page; 2017-2018 3526 lb not propagated because later-year listings diverge."
2020,"Honda","Accord","Base","hev",3342,"exact","https://hondanews.com/en-US/honda-automobiles/releases/release-9966c01b392f59faacdd98d1520077cb-2020-accord-hybrid-specifications-features","OEM","Curb Weight (6MT/CVT/10AT) NA / 3342 lbs / NA [Hybrid column]","Inventory Base hybrid maps to Honda News Hybrid column (FWD 2.0L eCVT). Honda Information Center mixed ICE/hybrid table lists 3327 lb eCVT for Hybrid; dedicated 2020 Accord Hybrid press kit used here."
2020,"Honda","Accord","EX","hev",3377,"exact","https://hondanews.com/en-US/honda-automobiles/releases/release-9966c01b392f59faacdd98d1520077cb-2020-accord-hybrid-specifications-features","OEM","Curb Weight (6MT/CVT/10AT) NA / 3377 lbs / NA [EX Hybrid column]","Honda Information Center mixed table lists 3373 lb eCVT for EX Hybrid."
2020,"Honda","Accord","EX-L","hev",3400,"exact","https://hondanews.com/en-US/honda-automobiles/releases/release-9966c01b392f59faacdd98d1520077cb-2020-accord-hybrid-specifications-features","OEM","Curb Weight (6MT/CVT/10AT) NA / 3400 lbs / NA [EX-L Hybrid column]","Honda Information Center mixed table lists 3386 lb eCVT for EX-L Hybrid."
2020,"Honda","Accord","Touring","hev",3428,"exact","https://hondanews.com/en-US/honda-automobiles/releases/release-9966c01b392f59faacdd98d1520077cb-2020-accord-hybrid-specifications-features","OEM","Curb Weight (6MT/CVT/10AT) NA / 3428 lbs / NA [Touring Hybrid column]","Honda Information Center mixed table lists 3415 lb eCVT for Touring Hybrid."
2021,"Ford","Escape","SE Hybrid","hev",3668,"exact","https://cars.usnews.com/cars-trucks/ford/escape-hybrid/2021/specs/escape-hybrid-se-hybrid-awd-418497","secondary","Base Curb Weight (lbs.) 3668","2021 Escape SE Hybrid AWD 2.5L HEV. Opened U.S. News/J.D. Power Chrome-style spec page for this exact style. OEM 2021 brochure lists dimensions only, no curb weight."
